Date,Open,High,Low,Close,Volume
2023-06-16 16:18:00,235.497,235.497,235.373,235.421,5.4525
2023-06-16 16:19:00,235.478,235.478,235.429,235.477,20.5321
2023-06-16 16:20:00,235.469,235.48,235.354,235.354,4.3493
2023-06-16 16:21:00,235.377,235.581,235.377,235.529,4.2853
2023-06-16 16:22:00,235.525,235.527,235.469,235.499,11.2457
2023-06-16 16:23:00,235.533,235.601,235.533,235.556,1.8971
2023-06-16 16:24:00,235.556,235.556,235.517,235.541,27.2068
2023-06-16 16:25:00,235.551,235.551,235.438,235.461,21.5492
2023-06-16 16:26:00,235.451,235.631,235.451,235.593,12.1769
2023-06-16 16:27:00,235.574,235.587,235.553,235.561,3.7676
2023-06-16 16:28:00,235.56,235.627,235.56,235.627,15.3435
2023-06-16 16:29:00,235.627,235.628,235.626,235.626,13.5052
2023-06-16 16:30:00,235.595,235.629,235.553,235.553,0.8675
2023-06-16 16:31:00,235.509,235.845,235.509,235.845,14.9713
2023-06-16 16:32:00,235.85,236.4,235.85,235.996,45.5288
2023-06-16 16:33:00,235.95,235.95,235.834,235.905,12.0747
2023-06-16 16:34:00,235.832,235.832,235.68,235.706,0.4379
2023-06-16 16:35:00,235.765,235.765,235.534,235.534,3.6839
2023-06-16 16:36:00,235.513,235.574,235.356,235.356,22.8807
2023-06-16 16:37:00,235.331,235.331,235.133,235.258,22.445
2023-06-16 16:38:00,235.277,235.277,235.195,235.195,7.5666
2023-06-16 16:39:00,235.195,235.212,235.195,235.212,5.3288
2023-06-16 16:40:00,235.212,235.232,235.169,235.232,5.0404
2023-06-16 16:41:00,235.165,235.371,235.152,235.255,34.864
2023-06-16 16:42:00,235.255,235.334,235.218,235.253,30.0596
2023-06-16 16:43:00,235.338,235.338,235.256,235.256,9.6589
2023-06-16 16:44:00,235.162,235.162,235.004,235.009,14.7267
2023-06-16 16:45:00,235.009,235.053,234.841,234.849,5.7886
2023-06-16 16:46:00,234.854,235.191,234.314,234.494,384.5205
2023-06-16 16:47:00,234.483,234.886,234.316,234.818,29.4627
2023-06-16 16:48:00,234.909,235.013,234.676,234.956,6.6129
2023-06-16 16:49:00,235.141,235.579,235.141,235.281,13.1384
2023-06-16 16:50:00,235.3,235.95,235.25,235.86,38.0908
2023-06-16 16:51:00,235.628,235.628,235.347,235.35,7.9779
2023-06-16 16:52:00,235.229,235.452,235.135,235.325,4.8438
2023-06-16 16:53:00,235.336,235.413,235.314,235.315,2.1769
2023-06-16 16:54:00,235.337,235.413,235.337,235.413,1.5062
2023-06-16 16:55:00,235.464,235.766,235.464,235.766,14.8261
2023-06-16 16:56:00,235.737,236.305,235.671,236.248,13.5622
2023-06-16 16:57:00,236.227,238.07,236.227,237.77,187.09179191
2023-06-16 16:58:00,237.734,239.077,237.55,238.304,179.4992
2023-06-16 16:59:00,238.198,238.34,237.627,237.993,34.8095
2023-06-16 17:00:00,237.903,238.469,237.85,238.161,33.2877
2023-06-16 17:01:00,238.166,238.262,238.022,238.022,15.5023
2023-06-16 17:02:00,238.009,238.009,237.53,237.631,21.6013
2023-06-16 17:03:00,237.52,237.52,236.77,236.948,86.1278
2023-06-16 17:04:00,237.037,237.344,236.75,236.775,33.6043
2023-06-16 17:05:00,236.822,236.964,236.72,236.842,18.9498
2023-06-16 17:06:00,236.901,237.082,236.781,236.874,14.4229
2023-06-16 17:07:00,236.935,237.23,236.87,236.87,27.8258
2023-06-16 17:08:00,236.798,237.048,236.726,236.884,57.5868
2023-06-16 17:09:00,236.865,236.865,236.691,236.691,24.5349
2023-06-16 17:10:00,236.691,237.08,236.691,237.08,56.9927
2023-06-16 17:11:00,237.264,237.369,237.21,237.246,32.0536
2023-06-16 17:12:00,237.268,237.381,237.225,237.33,27.6285
2023-06-16 17:13:00,237.319,237.352,237.036,237.091,22.8475
2023-06-16 17:14:00,237.222,237.309,237.134,237.156,21.3277
2023-06-16 17:15:00,237.161,237.368,237.1,237.368,130.7127
2023-06-16 17:16:00,237.349,237.368,237.251,237.251,13.7448
2023-06-16 17:17:00,237.168,237.196,236.691,236.691,341.7155
2023-06-16 17:18:00,236.764,236.764,236.62,236.735,12.6135
2023-06-16 17:19:00,236.759,236.836,236.625,236.836,11.0259
2023-06-16 17:20:00,236.91,237.161,236.887,237.161,5.8116
2023-06-16 17:21:00,237.076,237.171,237.076,237.115,4.824
2023-06-16 17:22:00,237.088,237.233,236.961,237.16,12.5963
2023-06-16 17:23:00,237.116,237.155,236.961,237.149,3.6223
2023-06-16 17:24:00,237.143,237.23,236.887,236.932,24.2001
2023-06-16 17:25:00,236.945,237.248,236.945,237.084,102.024
2023-06-16 17:26:00,237.039,237.477,237.039,237.477,32.3927
2023-06-16 17:27:00,237.499,237.546,237.363,237.469,16.6829
2023-06-16 17:28:00,237.389,237.421,237.303,237.364,12.9518
2023-06-16 17:29:00,237.356,237.395,237.312,237.36,20.506
2023-06-16 17:30:00,237.315,237.353,236.982,236.982,12.509
2023-06-16 17:31:00,236.959,236.96,236.823,236.823,8.6335
2023-06-16 17:32:00,236.76,236.989,236.674,236.908,27.891
2023-06-16 17:33:00,236.899,236.938,236.792,236.865,16.8673
2023-06-16 17:34:00,236.865,237.269,236.863,237.193,69.1175
2023-06-16 17:35:00,237.193,237.397,237.193,237.397,5.1206
2023-06-16 17:36:00,237.455,237.607,237.397,237.397,18.2153
2023-06-16 17:37:00,237.295,237.46,237.295,237.365,16.8218
2023-06-16 17:38:00,237.362,237.447,237.257,237.447,6.6656
2023-06-16 17:39:00,237.383,237.772,237.383,237.589,21.0413
2023-06-16 17:40:00,237.598,237.699,237.497,237.555,20.2077
2023-06-16 17:41:00,237.552,237.552,237.437,237.523,12.9062
2023-06-16 17:42:00,237.597,237.778,237.567,237.778,5.9984
2023-06-16 17:43:00,237.77,237.783,237.651,237.783,7.8479
2023-06-16 17:44:00,237.797,237.797,237.567,237.567,23.2437
2023-06-16 17:45:00,237.588,237.756,237.491,237.756,30.3869
2023-06-16 17:46:00,237.756,237.756,237.533,237.615,12.1292
2023-06-16 17:47:00,237.621,237.621,237.534,237.547,19.1833
2023-06-16 17:48:00,237.613,237.613,237.308,237.441,20.778
2023-06-16 17:49:00,237.35,237.35,237.072,237.111,8.421
2023-06-16 17:50:00,237.017,237.178,237.017,237.178,2.6066
2023-06-16 17:51:00,237.261,237.33,237.17,237.33,4.2911
2023-06-16 17:52:00,237.401,237.622,237.401,237.446,11.9331
2023-06-16 17:53:00,237.509,237.583,237.509,237.538,4.9153
2023-06-16 17:54:00,237.61,237.792,237.61,237.62,4.4869
2023-06-16 17:55:00,237.629,237.695,237.595,237.695,23.4419
2023-06-16 17:56:00,237.597,237.6,237.51,237.6,12.2285
2023-06-16 17:57:00,237.662,237.821,237.662,237.797,12.1143
2023-06-16 17:58:00,237.85,238.648,237.85,238.271,78.9654
2023-06-16 17:59:00,238.258,238.87,238.087,238.602,56.0359
2023-06-16 18:00:00,238.556,238.79,238.232,238.307,57.2938
2023-06-16 18:01:00,238.225,238.403,238.11,238.403,14.2829
2023-06-16 18:02:00,238.403,238.403,238.173,238.175,30.1159
2023-06-16 18:03:00,238.115,238.248,238.021,238.117,22.9513
2023-06-16 18:04:00,238.065,239.007,238.064,238.981,53.1336
2023-06-16 18:05:00,238.903,238.997,238.641,238.867,75.9348
2023-06-16 18:06:00,238.863,239.318,238.863,238.939,135.9945
2023-06-16 18:07:00,238.84,238.84,238.39,238.416,20.3285
2023-06-16 18:08:00,238.445,238.578,238.333,238.577,16.2174
2023-06-16 18:09:00,238.456,238.488,238.244,238.244,27.0107
2023-06-16 18:10:00,238.247,238.438,238.218,238.42,3.8639
2023-06-16 18:11:00,238.548,238.754,238.548,238.754,24.1175
2023-06-16 18:12:00,238.754,238.949,238.666,238.694,34.8762
2023-06-16 18:13:00,238.695,238.695,238.561,238.663,39.2456
2023-06-16 18:14:00,238.708,238.79,238.505,238.505,14.0845
2023-06-16 18:15:00,238.501,238.55,238.367,238.472,18.817
2023-06-16 18:16:00,238.483,238.612,238.428,238.612,19.8284
2023-06-16 18:17:00,238.625,238.801,238.622,238.622,47.2042
2023-06-16 18:18:00,238.622,238.684,238.406,238.65,75.5613
2023-06-16 18:19:00,238.68,238.995,238.676,238.709,43.54
2023-06-16 18:20:00,238.624,238.624,238.404,238.445,12.6044
2023-06-16 18:21:00,238.415,238.456,238.349,238.349,15.1485
